"DateTime","city","country","shape"
2013-05-15,"columbus","us","changing"
2013-07-14,"columbus","us","changing"
2003-09-17,"columbus","us","changing"
2006-07-16,"commerce township",NA,"changing"
2013-09-30,"como","us","changing"
2009-12-12,"concord","us","changing"
2003-03-21,"concord","us","changing"
2006-12-14,"conrad","us","changing"
2009-12-12,"cookeville","us","changing"
2003-09-28,"cookeville","us","changing"
2006-10-30,"cooper city","us","changing"
2012-12-20,"copperas cove","us","changing"
2009-03-19,"copperas cove","us","changing"
2009-08-27,"cork (ireland)",NA,"changing"
2000-06-06,"cork (republic of ireland)",NA,"changing"
2012-08-05,"cornelius","us","changing"
2014-02-21,"cornell","us","changing"
2008-06-12,"corona del mar","us","changing"
2006-05-15,"corpus christi","us","changing"
2009-08-05,"corpus christi","us","changing"
2002-07-26,"corunna","us","changing"
2012-08-05,"costa mesa","us","changing"
2008-04-17,"costa mesa","us","changing"
2001-02-24,"cottage grove","us","changing"
2008-06-12,"cottage grove","us","changing"
2013-06-02,"cottage grove","us","changing"
2003-08-01,"cottage grove","us","changing"
2007-06-12,"cottonwood","us","changing"
2010-11-21,"council bluffs","us","changing"
2012-09-24,"coupeville","us","changing"
2006-10-30,"coventry","us","changing"
2007-04-27,"coventry (uk/england)","gb","changing"
2006-10-30,"coventry (uk/england)","gb","changing"
2006-07-16,"coventry (uk/england)","gb","changing"
1999-11-02,"covington","us","changing"
2002-06-12,"covington (on highway 64)","us","changing"
1998-09-26,"cozad","us","changing"
2010-02-14,"craig","us","changing"
2004-06-04,"crawfordville","us","changing"
2013-09-30,"crestline","us","changing"
2008-06-12,"crestview","us","changing"
2001-11-20,"crowley","us","changing"
2004-01-17,"crown point","us","changing"
2005-10-11,"crown point","us","changing"
2005-10-11,"crownpoint","us","changing"
2006-07-16,"crystal lake","us","changing"
2012-08-05,"crystal river","us","changing"
2004-12-14,"cumberland/ravensdale",NA,"changing"
2012-11-19,"cut off","us","changing"
2001-08-05,"cypress","us","changing"
2009-08-05,"cypress","us","changing"
2002-09-28,"cypress","us","changing"
2009-03-19,"dagsboro","us","changing"
2000-12-02,"dahab (sinai)",NA,"changing"
2000-09-17,"dahlonega","us","changing"
2000-02-23,"dallardsville","us","changing"
2001-02-18,"dallas","us","changing"
2006-10-30,"dallas","us","changing"
2006-05-15,"dallesport","us","changing"
2013-12-02,"damascus","us","changing"
2012-06-20,"dana point","us","changing"
2005-10-11,"daqing (china)",NA,"changing"
2012-04-18,"davenport","us","changing"
2010-07-10,"davenport","us","changing"
2005-06-20,"davie","us","changing"
2003-03-04,"davie","us","changing"
2012-09-24,"davie","us","changing"
2009-01-10,"davis","us","changing"
2002-11-20,"dayton","us","changing"
2002-04-08,"dayton","us","changing"
1999-11-02,"daytona beach","us","changing"
2011-06-27,"dayville","us","changing"
1999-01-28,"decatur","us","changing"
2000-06-06,"decatur","us","changing"
2005-12-16,"decatur","us","changing"
2010-07-06,"deer park","us","changing"
2003-08-28,"delaware","us","changing"
1999-05-24,"delhi","us","changing"
2012-02-10,"delhi (india)",NA,"changing"
2007-11-28,"deline (canada)","ca","changing"
2011-10-19,"deltona","us","changing"
2006-12-07,"deming","us","changing"
2006-12-07,"deming","us","changing"
2014-02-14,"deming","us","changing"
2005-05-11,"deming (somewhere near)","us","changing"
2007-04-27,"denton","us","changing"
2007-06-12,"denton","us","changing"
2007-11-28,"denver","us","changing"
2005-11-03,"denver","us","changing"
2007-11-28,"denver","us","changing"
2011-12-12,"denver","us","changing"
2008-02-14,"denver","us","changing"
2009-01-10,"denver","us","changing"
2004-06-18,"denver","us","changing"
2001-08-05,"denver","us","changing"
2008-10-31,"denver","us","changing"
2014-04-04,"deptford",NA,"changing"
2006-02-14,"derry","us","changing"
2009-12-12,"derry (northern ireland)",NA,"changing"
2007-06-12,"des moines","us","changing"
1999-01-28,"diamond bar (on the 57)","us","changing"
2012-12-20,"dibrugarh (india)",NA,"changing"
2005-12-16,"dickensonville","us","changing"
2001-11-20,"dickinson","us","changing"
2001-11-20,"dickinson","us","changing"
2004-05-04,"dingmans ferry","us","changing"
2013-10-23,"dinosaur colorado",NA,"changing"
2000-12-20,"dolgellau (uk/wales)","gb","changing"
2008-01-21,"dora","us","changing"
2013-05-15,"dorchester","us","changing"
2009-05-12,"dover","us","changing"
2001-08-05,"downers grove","us","changing"
2003-03-21,"doylestown","us","changing"
2011-06-20,"doylestown","us","changing"
2009-03-19,"doylestown","us","changing"
2002-09-19,"dubai (uae)",NA,"changing"
2007-04-27,"duluth","us","changing"
2003-12-19,"duncan","us","changing"
2004-07-25,"dungannon (northern ireland)",NA,"changing"
2004-01-17,"dunstable (uk/england)","gb","changing"
2002-08-28,"durant","us","changing"
2009-04-14,"durban (south africa)",NA,"changing"
2007-02-24,"durham","us","changing"
2008-03-04,"dutton","us","changing"
2009-04-14,"eagle butte","us","changing"
2001-11-20,"eagle rock","us","changing"
2006-10-30,"east chicago","us","changing"
2003-09-17,"east falmouth","us","changing"
2009-06-09,"east helena","us","changing"
2002-08-28,"east jordan","us","changing"
2007-04-27,"east meadow","us","changing"
2005-05-11,"east yorkshire (uk/england)",NA,"changing"
2010-11-21,"eastport","us","changing"
2010-05-12,"edenvale (johannesburg)  (south africa)",NA,"changing"
2010-06-23,"edinburgh (uk/scotland)","gb","changing"
2013-07-03,"edmonds","us","changing"
2012-07-04,"edmonton (canada)","ca","changing"
2008-06-12,"edwardsburg","us","changing"
2005-11-03,"edwardsville","us","changing"
2005-05-24,"el baul (venezuela)",NA,"changing"
2009-01-10,"el cajon","us","changing"
2011-10-19,"el dorado hills","us","changing"
2004-06-18,"el dorado hills","us","changing"
2009-03-19,"el paso","us","changing"
2010-04-13,"el paso","us","changing"
2004-03-09,"el paso","us","changing"
2007-04-27,"el paso","us","changing"
2006-07-16,"el paso","us","changing"
2008-01-21,"el reno","us","changing"
