"ID","country","state","city","shape","DurationSeconds","duration (hours/min)","comments","DateTime","MeanValue_1","MeanValue_2","...12","...13"
75448,"gb",NA,"wakefield (uk/england)","disk",300,"5 mins","silver disc very high up in the sky west yorkshire england",2005-10-11,-1.483333,53.7,NA,NA
76741,"gb",NA,"mansfield (uk/england)","disk",300,"5 mins","Scary.",2005-10-11,-1.2,53.133333,NA,NA
78700,"gb",NA,"darvel (uk/scotland)","disk",86400,"all day","saucer shaped object with point seen above Darvel at time of Halle Bop",2006-02-14,-4.283333,55.583333,NA,NA
81075,"gb",NA,"south yorkshire (uk/england)","disk",10,"5-10 seconds","3 lights synchrnized darting and changing direction moving as quick as a meteor",2010-11-21,-1.25,53.45,NA,NA
81393,"gb",NA,"london (uk/england)","disk",7200,"2 hours","The object was disc shaped&#44 very bright&#44 appeared to have portholes&#44 had a flashing light on top. it seemed to hang suspended in the sk",2011-01-05,-0.093689,51.514125,NA,NA
83005,"gb",NA,"blackpool (uk/england)","disk",60,"60 seconds","Unidentified Flying Object&#44 Not man made.",2013-10-23,-3.05,53.816667,NA,NA
83334,"gb",NA,"swindon (uk/england)","disk",4,"4 seconds","Very bright white disk shaped object hovered then shot upwards in an arc",2002-09-19,-1.783333,51.516667,NA,NA
85392,"gb",NA,"swindon (uk/england)","disk",4,"3 - 4 secs","One thing before I start I must tell you that I am unsure of the date I saw the craft or object but I am sure it was late september ear",2003-03-04,-1.783333,51.516667,NA,NA
85755,"gb",NA,"warrington (uk/england)","disk",120,"2 minutes","Me and my friend was walking to a local park when we i randomly looked up into the night sky. i saw something changing colours red blue",2013-09-30,-2.6,53.383333,NA,NA
86283,"gb",NA,"newcastle (uk/england)","disk",180,"3 mins approx","followed by a ufo&#33",2000-12-02,-5.883333,54.2,NA,NA
86747,"gb",NA,"craigavon (uk/northern ireland)","disk",120,"2 min","A large round saucer with lights all around it.  A large lazer beam shot into the clouds and the craft followed the beam into the cloud",2001-10-12,-6.416667,54.466667,NA,NA
87785,"gb",NA,"derby (uk/england)","disk",2700,"45min+","6 discs at  huge altitude.Coordinated movements.Instant stop start.  ((NUFORC Note:  Possible hoax&#44 we believe.  PD))",2005-05-24,-1.583333,53.166667,NA,NA
88014,"gb",NA,"manchester (uk/england)","disk",120,"2 minutes","It lasted 2 mins&#44 disc shaped objects&#44 flashing lights&#44 dissapeared.",2003-09-12,-2.216667,53.5,NA,NA
